"department","total_count","terminated_count","termination_rate"
"Auditing","52","9","0.17307692307692307692"
"Legal","311","42","0.13504823151125401929"
"Training","1692","209","0.12352245862884160757"
"Research and Development","1084","131","0.12084870848708487085"
"Support","954","113","0.11844863731656184486"
"Human Resources","1807","214","0.11842833425567238517"
"Engineering","6685","788","0.11787584143605086013"
"Accounting","3333","385","0.11551155115511551155"
"Sales","1832","211","0.11517467248908296943"
"Product Management","641","73","0.11388455538221528861"
"Services","1686","189","0.11209964412811387900"
"Business Development","1642","172","0.10475030450669914738"
"Marketing","494","48","0.09716599190283400810"
